host,node_role,cluster,manufacturer,model,serialnumber,sku,memory,processor_mode,processor_count,processor_cores,processor_cores_total,chassis_bay,mac_addresses
wrk-76.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN701635C4005I,JVBMJH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:F5:9B,10:7D:1A:9D:F5:9E"
wrk-77.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D00GK,JVBNHH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:F7:DD,10:7D:1A:9D:F7:E0"
wrk-78.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N0055,JVBPJH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:F6:03,10:7D:1A:9D:F6:06"
wrk-79.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N00BB,JVBPDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9D:FD:95,10:7D:1A:9D:FD:98"
wrk-80.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30092I001L,DRYDZV2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"6C:2B:59:8A:F4:9D,6C:2B:59:8A:F4:9F"
wrk-81.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS3008690066,HBB21Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:95:C9,50:9A:4C:91:95:CB"
wrk-82.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30092I0032,DRYGZV2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"6C:2B:59:88:C7:01,6C:2B:59:88:C7:03"
wrk-83.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30092I0005,DRZ9ZV2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"6C:2B:59:88:C7:05,6C:2B:59:88:C7:07"
wrk-84.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30092I000B,DRZBZV2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"6C:2B:59:8A:F2:21,6C:2B:59:8A:F2:23"
wrk-85.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30085B005H,HBG01Q2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:94:95,50:9A:4C:91:94:97"
wrk-86.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869007F,H9N01Q2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:95:CD,50:9A:4C:91:95:CF"
wrk-87.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869005P,H9N41Q2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:92:A9,50:9A:4C:91:92:AB"
ctl-0.nerc-ocp-infra.rc.fas.harvard.edu,openshift_controller,nerc-ocp-infra,Lenovo,ThinkSystem SD530,J1016RCK,7X21CTOLWW,384,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,2,24,48,4,"0a:94:ef:9f:ba:b6,08:94:EF:9F:C0:FD,08:94:EF:9F:C0:FE,0C:42:A1:5F:A7:54,0C:42:A1:5F:A7:55"
ctl-1.nerc-ocp-infra.rc.fas.harvard.edu,openshift_controller,nerc-ocp-infra,Lenovo,ThinkSystem SD530,J1016RC2,7X21CTOLWW,384,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,2,24,48,2,"0a:94:ef:b5:70:bd,08:94:EF:B5:76:98,08:94:EF:B5:76:99,0C:42:A1:5F:A7:3C,0C:42:A1:5F:A7:3D"
ctl-2.nerc-ocp-infra.rc.fas.harvard.edu,openshift_controller,nerc-ocp-infra,Lenovo,ThinkSystem SD530,J1016RBY,7X21CTOLWW,384,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,2,24,48,3,"0a:94:ef:95:68:75,08:94:EF:95:6A:60,08:94:EF:95:6A:61,0C:42:A1:5F:9D:1C,0C:42:A1:5F:9D:1D"
wrk-35.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,"failed"
