host,node_role,cluster,manufacturer,model,serialnumber,sku,memory,processor_mode,processor_count,processor_cores,processor_cores_total,chassis_bay,mac_addresses
wrk-15.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS3008690095,H9S41Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9C:81:D5,10:7D:1A:9C:81:D8"
wrk-16.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H001H,4WY0HQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:02:F5,50:9A:4C:8F:02:F7"
wrk-17.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H0009,4WY81Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:05:6D,50:9A:4C:8F:05:6F"
wrk-18.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H006Q,4WY71Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:07:85,50:9A:4C:8F:07:87"
wrk-19.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H0082,4WS61Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:03:B9,50:9A:4C:8F:03:BB"
wrk-20.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H009P,4WZ1HQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:07:95,50:9A:4C:8F:07:97"
wrk-21.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H000X,4WS71Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:06:6D,50:9A:4C:8F:06:6F"
wrk-22.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H006R,4WZ0HQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:95:A1,50:9A:4C:91:95:A3"
wrk-23.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H000K,4WYZGQ2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:8F:04:01,50:9A:4C:8F:04:03"
wrk-24.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N000U,JVCNHH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:0E:01,10:7D:1A:9E:0E:04"
wrk-25.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O00AR,JVCLHH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:0E:EF,10:7D:1A:9E:0E:F2"
wrk-26.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N003Q,JVCNDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:0E:69,10:7D:1A:9E:0E:6C"
wrk-27.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N004A,JVCPDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:14:A7,10:7D:1A:9E:14:AA"
wrk-28.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O0013,JVCMJH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:0E:1E,10:7D:1A:9E:0E:1B"
wrk-29.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O006P,JVCNJH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:10:5D,10:7D:1A:9E:10:60"
wrk-30.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O000S,JVCMHH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:0E:83,10:7D:1A:9E:0E:86"
